date,predicted_index,real_price,regime_probability
2029-02-16,95.4103,182.8298,0.2053
2029-02-23,96.362,184.6536,0.205
2029-03-02,96.912,185.7075,0.2047
2029-03-09,97.0509,185.9736,0.2044
2029-03-16,97.3905,186.6243,0.2041
2029-03-23,97.452,186.7422,0.2039
2029-03-30,97.6727,187.1652,0.2036
2029-04-06,97.3763,186.5973,0.2034
2029-04-13,97.3116,186.4731,0.2032
2029-04-20,96.7343,185.367,0.203
